task_id,passed,error_type,time_ms,test_count,tests_passed,complexity,output
HumanEval/51,True,None,511.17634773254395,7,7,Easy,
HumanEval/52,True,None,437.6051425933838,6,6,Medium,
HumanEval/53,False,Other,460.92867851257324,6,5,Easy,"JSON_RESULTS:{""total_tests"": 6, ""passed"": 5, ""failed"": 1, ""test_results"": [{""test_id"": 0, ""passed"": true, ""message"": ""Test 1 passed"", ""test_case"": {""assertion"": ""assert add(x, y) == x + y""}}, {""test_i"
HumanEval/54,True,None,439.3937587738037,7,7,Easy,
HumanEval/55,True,None,437.32404708862305,5,5,Medium,
HumanEval/56,True,None,555.9616088867188,12,12,Hard,
HumanEval/57,True,None,511.1725330352783,8,8,Easy,
HumanEval/58,True,None,456.1581611633301,4,4,Hard,
HumanEval/59,True,None,438.33136558532715,5,5,Hard,
HumanEval/60,True,None,528.3510684967041,5,5,Easy,
HumanEval/61,True,None,462.95666694641113,12,12,Hard,
HumanEval/62,True,None,502.43210792541504,5,5,Easy,
HumanEval/63,True,None,429.68201637268066,7,7,Hard,
HumanEval/64,True,None,461.84444427490234,8,8,Medium,
HumanEval/65,True,None,499.86815452575684,5,5,Medium,
HumanEval/66,True,None,438.5092258453369,10,10,Medium,
HumanEval/67,True,None,504.48036193847656,7,7,Medium,
HumanEval/68,True,None,453.1121253967285,10,10,Easy,
HumanEval/69,True,None,592.3244953155518,25,25,Hard,
HumanEval/70,True,None,462.6338481903076,10,10,Medium,
HumanEval/71,True,None,547.889232635498,9,9,Medium,
HumanEval/72,True,None,441.9670104980469,6,6,Hard,
HumanEval/73,True,None,520.7321643829346,8,8,Medium,
HumanEval/74,True,None,466.8998718261719,11,11,Hard,
HumanEval/75,True,None,660.4175567626953,10,10,Hard,
HumanEval/76,True,None,452.2554874420166,10,10,Medium,
HumanEval/77,True,None,540.3563976287842,8,8,Easy,
HumanEval/78,True,None,542.9751873016357,7,7,Medium,
HumanEval/79,True,None,512.6380920410156,5,5,Easy,
HumanEval/80,True,None,488.3391857147217,8,8,Hard,
HumanEval/81,True,None,433.3536624908447,7,7,Hard,
HumanEval/82,True,None,441.24746322631836,16,16,Hard,
HumanEval/83,True,None,457.6687812805176,7,7,Easy,
HumanEval/84,True,None,459.71083641052246,7,7,Easy,
HumanEval/85,True,None,449.7802257537842,4,4,Easy,
HumanEval/86,True,None,455.9619426727295,8,8,Easy,
HumanEval/87,False,SyntaxError,364.86220359802246,7,0,Medium,"File ""/tmp/test"", line 12
    return True, ""Test 1 passed""
    ^
SyntaxError: invalid syntax"
HumanEval/88,True,None,457.8878879547119,9,9,Easy,
HumanEval/89,True,None,472.0027446746826,8,8,Hard,
HumanEval/90,True,None,428.90238761901855,8,8,Easy,
HumanEval/91,True,None,538.3069515228271,7,7,Medium,
HumanEval/92,True,None,437.7307891845703,10,10,Medium,
HumanEval/93,True,None,453.7942409515381,5,5,Medium,
HumanEval/94,True,None,443.6073303222656,9,9,Hard,
HumanEval/95,True,None,444.77152824401855,7,7,Hard,
HumanEval/96,True,None,433.3829879760742,10,10,Hard,
HumanEval/97,True,None,433.63356590270996,8,8,Easy,
HumanEval/98,True,None,459.87915992736816,8,8,Medium,
HumanEval/99,True,None,452.94642448425293,5,5,Hard,
HumanEval/100,True,None,425.5552291870117,6,6,Easy,
HumanEval/101,True,None,431.2431812286377,8,8,Hard,
HumanEval/102,True,None,543.4329509735107,8,8,Hard,
HumanEval/103,True,None,474.3804931640625,12,12,Medium,
HumanEval/104,True,None,458.3268165588379,5,5,Hard,
HumanEval/105,True,None,454.0698528289795,7,7,Hard,
HumanEval/106,True,None,448.345422744751,4,4,Hard,
HumanEval/107,True,None,440.43850898742676,8,8,Hard,
HumanEval/108,True,None,432.6364994049072,9,9,Hard,
HumanEval/109,True,None,434.9796772003174,5,5,Hard,
HumanEval/110,True,None,430.4537773132324,7,7,Hard,
HumanEval/111,True,None,438.1260871887207,8,8,Hard,
HumanEval/112,True,None,443.8333511352539,9,9,Medium,
HumanEval/113,False,SyntaxError,395.979642868042,4,0,Medium,"File ""/tmp/test"", line 33
    return True, ""Test 3 passed""
    ^
SyntaxError: invalid syntax"
HumanEval/114,True,None,447.36790657043457,12,12,Hard,
HumanEval/115,True,None,447.8297233581543,7,7,Easy,
HumanEval/116,True,None,447.528600692749,10,10,Easy,
HumanEval/117,True,None,525.6664752960205,7,7,Hard,
HumanEval/118,True,None,428.15661430358887,14,14,Hard,
HumanEval/119,True,None,543.8342094421387,12,12,Hard,
HumanEval/120,True,None,462.61119842529297,11,11,Medium,
HumanEval/121,True,None,454.2503356933594,7,7,Easy,
HumanEval/122,True,None,437.3517036437988,5,5,Easy,
HumanEval/123,True,None,460.5894088745117,4,4,Hard,
HumanEval/124,True,None,481.22715950012207,16,16,Hard,
HumanEval/125,True,None,467.68784523010254,8,8,Hard,
HumanEval/126,True,None,516.2754058837891,13,13,Hard,
HumanEval/127,True,None,442.136287689209,8,8,Hard,
HumanEval/128,True,None,468.97006034851074,10,10,Medium,
HumanEval/129,True,None,439.0597343444824,11,11,Hard,
HumanEval/130,True,None,430.38177490234375,10,10,Hard,
HumanEval/131,True,None,442.0890808105469,7,7,Hard,
HumanEval/132,True,None,523.2069492340088,14,14,Hard,
HumanEval/133,True,None,437.4887943267822,12,12,Medium,
HumanEval/134,True,None,440.157413482666,11,11,Easy,
HumanEval/135,True,None,485.3692054748535,5,5,Hard,
HumanEval/136,True,None,428.65562438964844,12,12,Medium,
HumanEval/137,True,None,432.7559471130371,9,9,Medium,
HumanEval/138,True,None,505.0077438354492,8,8,Easy,
HumanEval/139,True,None,444.4241523742676,4,4,Medium,
HumanEval/140,True,None,430.01627922058105,5,5,Hard,
HumanEval/141,True,None,429.3036460876465,26,26,Hard,
HumanEval/142,True,None,446.9904899597168,11,11,Hard,
HumanEval/143,True,None,434.3564510345459,7,7,Hard,
HumanEval/144,True,None,526.1585712432861,13,13,Medium,
HumanEval/145,True,None,470.38865089416504,7,7,Hard,
HumanEval/146,True,None,476.2890338897705,7,7,Hard,
HumanEval/147,True,None,564.2127990722656,4,4,Hard,
HumanEval/148,True,None,455.5079936981201,7,7,Hard,
HumanEval/149,True,None,450.9568214416504,7,7,Medium,
HumanEval/150,True,None,445.96028327941895,10,10,Hard,
HumanEval/151,False,Other,468.0051803588867,7,6,Easy,"JSON_RESULTS:{""total_tests"": 7, ""passed"": 6, ""failed"": 1, ""test_results"": [{""test_id"": 0, ""passed"": true, ""message"": ""Test 1 passed"", ""test_case"": {""assertion"": ""assert double_the_difference(lst) == o"
HumanEval/152,True,None,450.6521224975586,5,5,Easy,
HumanEval/153,True,None,450.8087635040283,9,9,Hard,
HumanEval/154,True,None,447.1917152404785,6,6,Hard,
HumanEval/155,True,None,444.86403465270996,9,9,Hard,
HumanEval/156,True,None,518.6421871185303,15,15,Hard,
HumanEval/157,True,None,515.1197910308838,11,11,Easy,
HumanEval/158,True,None,455.6760787963867,10,10,Easy,
HumanEval/159,True,None,453.4487724304199,8,8,Medium,
HumanEval/160,True,None,459.1217041015625,4,4,Medium,
HumanEval/161,True,None,487.15925216674805,8,8,Hard,
HumanEval/162,True,None,491.18995666503906,5,5,Easy,
HumanEval/163,True,None,433.9921474456787,5,5,Medium,
