task_id,passed,error_type,time_ms,test_count,tests_passed,complexity,output
HumanEval/94,True,None,443.91679763793945,9,9,Hard,
HumanEval/95,True,None,460.5824947357178,7,7,Hard,
HumanEval/96,True,None,449.7265815734863,10,10,Hard,
HumanEval/97,True,None,506.6964626312256,8,8,Easy,
HumanEval/98,True,None,446.561336517334,8,8,Medium,
HumanEval/99,True,None,456.58397674560547,5,5,Hard,
HumanEval/100,True,None,470.7753658294678,6,6,Easy,
HumanEval/101,True,None,446.8667507171631,8,8,Hard,
HumanEval/102,True,None,540.4417514801025,8,8,Hard,
HumanEval/103,True,None,459.6130847930908,12,12,Medium,
HumanEval/104,True,None,467.379093170166,5,5,Hard,
HumanEval/105,True,None,522.4034786224365,7,7,Hard,
HumanEval/106,True,None,509.7534656524658,4,4,Hard,
HumanEval/107,True,None,465.3284549713135,8,8,Hard,
HumanEval/108,True,None,453.0487060546875,9,9,Hard,
HumanEval/109,True,None,493.4103488922119,5,5,Hard,
HumanEval/110,True,None,450.533390045166,7,7,Hard,
HumanEval/111,True,None,436.1751079559326,8,8,Hard,
HumanEval/112,True,None,455.5704593658447,9,9,Medium,
HumanEval/113,False,SyntaxError,405.5595397949219,4,0,Medium,"File ""/tmp/test"", line 33
    return True, ""Test 3 passed""
    ^
SyntaxError: invalid syntax"
HumanEval/114,True,None,529.9763679504395,12,12,Hard,
HumanEval/115,True,None,530.6847095489502,7,7,Easy,
HumanEval/116,True,None,507.3418617248535,10,10,Easy,
HumanEval/117,True,None,461.92431449890137,7,7,Hard,
HumanEval/118,True,None,447.5564956665039,14,14,Hard,
HumanEval/119,True,None,458.2703113555908,12,12,Hard,
HumanEval/120,True,None,440.4590129852295,11,11,Medium,
HumanEval/121,True,None,455.8753967285156,7,7,Easy,
HumanEval/122,True,None,448.3973979949951,5,5,Easy,
HumanEval/123,True,None,461.6053104400635,4,4,Hard,
HumanEval/124,True,None,488.70301246643066,16,16,Hard,
HumanEval/125,True,None,539.8082733154297,8,8,Hard,
HumanEval/126,True,None,435.17208099365234,13,13,Hard,
HumanEval/127,True,None,446.71082496643066,8,8,Hard,
HumanEval/128,True,None,476.515531539917,10,10,Medium,
HumanEval/129,True,None,443.54867935180664,11,11,Hard,
HumanEval/130,True,None,496.26851081848145,10,10,Hard,
HumanEval/131,True,None,445.4541206359863,7,7,Hard,
HumanEval/132,True,None,458.1432342529297,14,14,Hard,
HumanEval/133,True,None,448.81319999694824,12,12,Medium,
HumanEval/134,True,None,463.7570381164551,11,11,Easy,
HumanEval/135,True,None,481.30202293395996,5,5,Hard,
HumanEval/136,True,None,449.8610496520996,12,12,Medium,
HumanEval/137,True,None,459.6848487854004,9,9,Medium,
HumanEval/138,True,None,450.99639892578125,8,8,Easy,
HumanEval/139,True,None,446.32411003112793,4,4,Medium,
HumanEval/140,True,None,445.8620548248291,5,5,Hard,
HumanEval/141,True,None,428.635835647583,26,26,Hard,
HumanEval/142,True,None,457.6916694641113,11,11,Hard,
HumanEval/143,True,None,523.6403942108154,7,7,Hard,
HumanEval/144,True,None,433.6683750152588,13,13,Medium,
HumanEval/145,True,None,451.373815536499,7,7,Hard,
HumanEval/146,True,None,444.5924758911133,7,7,Hard,
HumanEval/147,True,None,500.51140785217285,4,4,Hard,
HumanEval/148,True,None,455.918550491333,7,7,Hard,
HumanEval/149,True,None,442.75546073913574,7,7,Medium,
HumanEval/150,True,None,430.8624267578125,10,10,Hard,
HumanEval/151,False,Other,447.1890926361084,7,6,Easy,"JSON_RESULTS:{""total_tests"": 7, ""passed"": 6, ""failed"": 1, ""test_results"": [{""test_id"": 0, ""passed"": true, ""message"": ""Test 1 passed"", ""test_case"": {""assertion"": ""assert double_the_difference(lst) == o"
HumanEval/152,True,None,457.1549892425537,5,5,Easy,
HumanEval/153,True,None,448.13990592956543,9,9,Hard,
HumanEval/154,True,None,519.7052955627441,6,6,Hard,
HumanEval/155,True,None,487.52856254577637,9,9,Hard,
HumanEval/156,True,None,451.1837959289551,15,15,Hard,
HumanEval/157,True,None,491.0159111022949,11,11,Easy,
HumanEval/158,True,None,447.07703590393066,10,10,Easy,
HumanEval/159,True,None,450.6494998931885,8,8,Medium,
HumanEval/160,True,None,449.8414993286133,4,4,Medium,
HumanEval/161,True,None,502.3348331451416,8,8,Hard,
HumanEval/162,True,None,440.0315284729004,5,5,Easy,
HumanEval/163,True,None,458.4188461303711,5,5,Medium,
