problem_id,loc,lloc,comments,cyclomatic_complexity,maintainability_index,cognitive_complexity,pylint_errors,pylint_warnings,security_issues
HumanEval/35,15,7,0,3.0,100.0,3,0,0,0
HumanEval/36,21,11,0,5.0,91.21727947790276,4,0,0,0
HumanEval/37,21,13,0,3.0,95.92162151010099,3,0,0,0
HumanEval/38,19,10,2,2.5,84.31965653094483,4,0,0,0
HumanEval/39,33,17,0,4.0,85.64347477602021,10,0,0,0
HumanEval/40,26,8,0,5.0,70.78119605995659,11,0,0,0
HumanEval/41,16,3,0,1.0,55.56786071199961,1,0,0,0
HumanEval/42,11,3,0,2.0,71.9331936183837,3,0,0,0
HumanEval/43,24,7,0,4.0,67.07933430093335,7,0,0,0
HumanEval/44,19,7,0,2.0,83.38355047641404,1,0,0,0
HumanEval/45,9,3,0,1.0,87.25147087527061,2,0,0,0
HumanEval/46,27,9,0,3.0,76.32645557332991,2,0,0,0
HumanEval/47,15,7,0,2.0,92.99270262602496,2,0,0,0
HumanEval/48,19,6,0,3.0,74.59220371419174,4,0,0,0
HumanEval/49,20,6,0,2.0,72.41966851140586,1,0,0,0
HumanEval/50,15,6,0,2.0,85.16136508223657,3,0,0,0
HumanEval/51,20,3,0,3.0,67.73115796691512,2,0,0,0
HumanEval/52,14,6,0,3.0,100.0,5,0,0,0
HumanEval/53,11,3,0,1.0,72.06769654236032,0,0,0,0
HumanEval/54,20,3,0,1.0,68.00016381486833,1,0,0,0
HumanEval/55,17,7,0,3.0,89.32694138498542,2,0,0,0
HumanEval/56,25,11,0,4.0,89.09435456102953,8,0,0,0
HumanEval/57,15,5,0,3.0,80.65909738865734,1,0,0,0
HumanEval/58,17,8,0,4.0,100.0,8,0,0,0
HumanEval/59,22,14,0,4.0,89.24936463105186,10,0,0,0
HumanEval/60,17,3,0,1.0,57.383387077471,0,0,0,0
HumanEval/61,25,11,0,4.0,89.09435456102953,8,0,0,0
HumanEval/62,13,4,0,2.0,57.21148314475711,1,0,0,0
HumanEval/63,24,9,0,4.0,79.12284017843163,3,0,0,0
HumanEval/64,23,8,0,4.0,90.57394853315512,2,0,0,0
HumanEval/65,16,9,0,2.0,87.0246069083169,2,0,0,0
HumanEval/66,17,5,0,4.0,57.972808226859314,3,0,0,0
HumanEval/67,20,7,0,3.0,82.55072310749401,4,0,0,0
HumanEval/68,40,9,0,3.0,38.6301452777892,2,0,0,0
HumanEval/69,23,10,0,4.0,89.75849478959957,4,0,0,0
HumanEval/70,19,8,0,3.0,94.38632032319366,4,0,0,0
HumanEval/71,19,8,0,4.0,80.86751799115244,2,0,0,0
HumanEval/72,30,11,0,4.0,84.52090011044952,6,0,0,0
HumanEval/73,18,7,0,3.0,85.54982800369908,3,0,0,0
HumanEval/74,28,12,0,4.0,91.9934504111422,5,0,0,0
HumanEval/75,24,19,0,8.0,86.5665252912493,24,0,0,0
HumanEval/76,20,8,0,3.0,83.65855765278624,5,0,0,0
HumanEval/77,17,4,0,1.0,51.02253810573073,1,0,0,0
HumanEval/78,26,8,0,3.0,69.00441361699757,3,0,0,0
HumanEval/79,15,4,0,1.0,51.39145068428643,2,0,0,0
HumanEval/80,22,8,0,6.0,79.73548242209503,6,0,0,0
HumanEval/81,58,31,0,14.0,79.17885452016336,52,0,0,0
HumanEval/82,18,9,0,5.0,92.26819756606392,6,0,0,0
HumanEval/83,9,5,0,2.0,93.06187445598712,2,0,0,0
HumanEval/84,17,4,0,2.0,100.0,1,0,0,0
HumanEval/85,10,3,0,3.0,86.98246502731739,2,0,0,0
HumanEval/86,16,3,0,2.0,100.0,1,0,0,0
HumanEval/87,24,5,0,4.0,52.140477659337066,3,0,0,0
HumanEval/88,18,3,0,2.0,50.08251690506278,3,0,0,0
HumanEval/89,21,10,0,3.0,88.92396773898686,6,0,0,0
HumanEval/90,15,4,0,2.0,69.20778451094579,2,0,0,0
HumanEval/91,17,6,0,2.0,74.08979799959907,2,0,0,0
HumanEval/92,26,7,0,7.0,79.65253476466297,4,0,0,0
HumanEval/93,20,6,0,4.0,72.15066266345265,4,0,0,0
HumanEval/94,30,15,0,5.0,88.2729728719992,7,0,0,0
HumanEval/95,36,23,0,12.0,82.2774022170346,20,0,0,0
HumanEval/96,24,12,0,5.0,94.32565975715623,6,0,0,0
HumanEval/97,13,3,0,1.0,51.85269872430772,0,0,0,0
HumanEval/98,16,7,0,3.0,95.79254141185018,3,0,0,0
HumanEval/99,40,18,1,6.0,84.21571062986379,16,0,0,0
HumanEval/100,17,3,0,2.0,53.65359371175479,4,0,0,0
HumanEval/101,24,12,0,4.0,97.60604837377433,6,0,0,0
HumanEval/102,18,9,0,4.0,93.20605535737444,3,0,0,0
HumanEval/103,19,8,0,3.0,84.94649970068596,2,0,0,0
HumanEval/104,19,7,0,4.0,89.29261350449788,5,0,0,0
HumanEval/105,43,12,0,3.0,100.0,3,0,0,1
HumanEval/106,22,15,0,5.0,88.53163995363686,8,0,0,0
HumanEval/107,37,13,0,6.0,75.52598312172823,7,0,0,0
HumanEval/108,19,11,0,2.0,88.3788566054737,3,0,0,0
HumanEval/109,41,14,0,4.0,77.42270980488081,6,0,0,0
HumanEval/110,27,13,0,6.0,87.39506842064245,11,0,0,0
HumanEval/111,28,13,0,7.0,90.39001457476255,7,0,0,0
HumanEval/112,15,5,0,3.0,57.18819159426501,5,0,0,0
HumanEval/113,19,7,0,3.0,79.38133459573578,3,0,0,0
HumanEval/114,21,13,0,5.0,92.37991482864312,5,0,0,0
HumanEval/115,38,4,0,2.0,86.49077317093801,1,0,0,0
HumanEval/116,14,4,0,1.0,100.0,0,0,0,0
HumanEval/117,25,11,0,5.0,88.96980657822498,6,0,0,0
HumanEval/118,26,10,0,6.0,85.05599982171698,8,0,0,0
HumanEval/119,31,15,0,3.0,86.68898343837269,14,0,0,0
HumanEval/120,32,8,0,2.0,63.106228639415285,2,0,0,0
HumanEval/121,12,3,0,4.0,64.28801763794502,2,0,0,0
HumanEval/122,17,4,0,3.0,52.573445756608464,3,0,0,0
HumanEval/123,33,14,0,5.0,85.48136864566042,13,0,0,0
HumanEval/124,38,17,0,13.0,81.73106097621799,9,0,0,0
HumanEval/125,18,8,0,6.0,88.09233574032163,11,0,0,0
HumanEval/126,29,11,0,7.0,83.6204219461843,7,0,0,0
HumanEval/127,38,17,0,3.0,82.97680839712093,10,0,0,0
HumanEval/128,17,7,0,4.0,64.60496582017821,4,0,0,0
HumanEval/129,59,24,0,10.0,76.99459206440201,26,0,0,0
HumanEval/130,28,11,0,4.0,76.0495052475622,8,0,0,0
HumanEval/131,21,13,0,4.0,92.3910806322023,5,0,0,0
HumanEval/132,33,18,0,6.0,87.44186448586713,9,0,0,0
HumanEval/133,21,7,0,2.0,86.11170799767746,1,0,0,0
HumanEval/134,18,4,0,3.0,53.38868324789323,2,0,0,0
HumanEval/135,19,9,0,3.0,92.88943593127034,3,0,0,0
HumanEval/136,17,7,0,3.0,69.67982384732217,1,0,0,0
HumanEval/137,19,10,0,5.0,82.32917344106491,5,0,0,0
HumanEval/138,10,3,0,2.0,65.34397890176396,0,0,0,0
HumanEval/139,20,8,0,2.0,91.02366886854753,1,0,0,0
HumanEval/140,33,22,0,7.0,80.66360721541315,23,0,0,0
HumanEval/141,30,16,0,8.0,87.46593285288398,11,0,0,0
HumanEval/142,24,11,0,5.0,89.29551243627857,11,0,0,0
HumanEval/143,33,13,0,7.0,81.81273875829935,9,0,0,0
HumanEval/144,21,9,0,2.0,90.58459512635014,2,0,0,0
HumanEval/145,20,10,0,1.0,90.42187301053691,4,0,0,0
HumanEval/146,20,10,0,5.0,93.11474144574963,4,0,0,0
HumanEval/147,24,10,0,6.0,82.15496044710527,11,0,0,0
HumanEval/148,27,13,0,5.0,78.1649702669361,4,0,0,0
HumanEval/149,23,8,0,3.0,77.69039841983789,4,0,0,0
HumanEval/150,19,10,0,5.0,96.71872409443607,10,0,0,0
HumanEval/151,15,3,0,5.0,48.03742964953733,2,0,0,0
HumanEval/152,18,3,0,2.0,55.65761347808438,3,0,0,0
HumanEval/153,30,11,0,15.0,75.24067822089371,12,0,0,0
HumanEval/154,19,9,0,4.0,91.14778271188814,8,0,0,0
HumanEval/155,17,10,0,3.0,95.80491267175961,5,0,0,0
HumanEval/156,27,14,0,3.0,91.70001927672097,2,0,0,0
HumanEval/157,13,3,0,3.0,45.02325638492703,1,0,0,0
HumanEval/158,13,4,0,1.0,59.97951498849627,1,0,0,0
HumanEval/159,35,6,0,2.0,43.50713319486604,2,0,0,0
HumanEval/160,31,6,0,2.0,50.10127650010324,1,0,0,1
HumanEval/161,27,17,0,5.0,90.7121250820841,6,0,0,0
HumanEval/162,11,4,0,2.0,100.0,1,0,0,1
HumanEval/163,16,5,0,3.0,80.28972953631143,2,0,0,0
